ID	Rt	Mz	QC1-NEG	QC2-NEG	QC3-NEG	QC4-NEG	QC5-NEG	VA1EE1-NEG	VA1EE2-NEG	VA1EE3-NEG	VA1EM1-NEG	VA1EM2-NEG	VA1EM3-NEG	VB1EE1-NEG	VB1EE2-NEG	VB1EE3-NEG	VB1EM1-NEG	VB1EM2-NEG	VB1EM3-NEG	VC1EE1-NEG	VC1EE2-NEG	VC1EE3-NEG	VC1EM1-NEG	VC1EM2-NEG	VC1EM3-NEG	BLK	MIX	QC	VAEE	VAEM	VBEE	VBEM	VCEE	VCEM
824	17.78	151.0391	162000	116000	557000	168000	168000	74200	31700	54962	155971	115464	69697	69635	26878	47205	374543	218050	222693	117274	138164	85089	711290	796477	865571	83992	144188	234278	53604	113711	47906	271762	113509	791113
825	4.00	151.0392	487000	443000	957000	534000	500000	128000	99500	135293	141693	141768	144769	135561	99665	77416	340322	199127	192367	151545	154325	163079	3261560	3200034	3689906	99434	1185096	584221	121096	142743	104214	243939	156317	3383833
826	7.68	151.0392	388000	347000	599000	294000	292000	99900	85000	121021	111944	111905	110591	240830	272827	227370	467576	183070	422321	531285	688576	521190	860156	869534	842586	84556	525170	383914	101962	111480	247009	357656	580350	857425
827	2.29	151.0392	9190000	9910000	10400000	10000000	10900000	107000	91900	103939	128549	119414	108407	143395	98832	89210	488805	254881	238524	376124	408007	325577	75057144	60901804	71899264	119120	279289	10091752	100912	118790	110479	327403	369903	69286071
828	2.35	151.0392	7720000	7920000	10400000	10000000	10900000	136000	95000	46000	136657	127561	103736	134596	105721	94089	724367	300651	234413	314137	370246	287271	12382887	60901804	17485042	128842	264663	9399403	92301	122651	111469	419810	323885	30256578
829	5.03	151.0393	1680000	1730000	2060000	3490000	1830000	112000	95000	274704	127665	191621	367611	3065090	3461027	2897825	3696563	1585308	3704603	8541569	14810031	6022776	21360492	4329354	28732842	100052	1191063	2158457	160474	228966	3141314	2995491	9791459	18140896
831	5.17	151.0999	72300	65900	55600	81300	69400	0	0	0	0	0	0	0	0	0	0	0	0	388803	500883	341299	30712	11897	10904	0	281347	68904	0	0	0	0	410329	17838
832	6.53	151.1118	13600	18300	0	21200	9190	6730	0	7636	73841	14980	8828	8955	11780	11070	0	0	10120	116976	9544	0	32086	0	61635	0	0	12439	4787	32550	10602	3373	42173	31240
853	3.67	152.0106	5780	0	0	0	0	0	0	0	0	0	0	0	0	6821	0	7144	0	8460	22597	8343	9387	10693	0	267	381732	1156	0	0	2274	2381	13133	6693
858	2.19	152.0423	670000	664000	903000	792000	840000	10500	14300	11278	10225	9171	24889	9849	16157	18317	53853	7528	24133	32338	61875	44276	6221744	5601956	5474316	15617	25426	773907	12048	14762	14774	28505	46163	5766006
